2020-02-22,14
2020-02-23,76
2020-02-24,129
2020-02-25,226
2020-02-26,319
2020-02-27,397
2020-02-28,647
2020-02-29,885
2020-03-01,1125
2020-03-02,1686
2020-03-03,1832
2020-03-04,2499
2020-03-05,3086
2020-03-06,3855
2020-03-07,4633
2020-03-08,5880
2020-03-09,7372
2020-03-10,9169
2020-03-11,10146
2020-03-12,12459
2020-03-13,15110
2020-03-14,17657
2020-03-15,17747
2020-03-16,23977
2020-03-17,27977
2020-03-18,31503
2020-03-19,35710
2020-03-20,41032
2020-03-21,47018
2020-03-22,53575
2020-03-23,59135
2020-03-24,63924
2020-03-25,69173
2020-03-26,74383
2020-03-27,80536
2020-03-28,86495
2020-03-29,92469
2020-03-30,97686
2020-03-31,101736
2020-04-01,105789
2020-04-02,110571
2020-04-03,115239
