1957	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1958	17.3	24.3	11.2	NaN	12.3	73	0	26	9	0	0
1965	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1968	17.9	24.5	11.6	NaN	13.1	82	0	42	19	0	2
1973	16.9	22.8	10.8	NaN	11.9	105	7	42	17	0	3
1974	17.4	23.6	11.1	NaN	11.3	137	7	80	18	5	5
1975	17.3	23.7	10.9	NaN	13.1	146	6	82	32	12	3
1976	17	23.4	10.7	NaN	13.4	116	4	53	15	1	3
1977	17.7	24.2	11.5	856.47	14	114	3	44	13	0	2
1978	16.7	23.2	11.2	1078.23	12	105	0	53	21	0	0
1979	16.8	24.7	10.1	767.13	11.6	115	3	44	11	0	0
1980	17.7	25.6	10.4	784.37	12.2	99	5	52	20	0	3
1981	17	25	10.5	1087.69	11.1	108	1	50	25	0	3
1982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1983	17	24.4	11	1108.97	12.2	100	0	53	14	0	4
1984	16.8	23.7	11.2	1100.61	11.6	116	2	47	18	0	1
1985	17.5	24	12.2	NaN	12	126	0	64	21	0	1
1986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1987	17.4	24.4	11.3	579.9	12.1	102	2	61	13	1	3
1988	17.2	24.9	10.5	704.3	10.3	88	1	53	13	0	2
1989	18.1	25.8	11.6	589.52	13.7	84	0	67	13	3	2
1990	17.5	25.2	11.5	1072.15	11.3	118	0	55	21	0	2
1991	17.4	25.1	11.6	741.92	12.2	109	0	64	27	0	1
1992	17	24.1	11.3	1284.21	13.3	110	0	66	15	1	2
1993	17.1	25.1	10.9	1099.8	13	93	0	62	10	0	1
1994	17.9	25.6	12	714.75	13.2	88	0	58	12	0	0
1995	17.8	26.1	10.8	551.17	13.3	81	1	54	6	1	0
1996	17.6	25.4	11	1422.69	13.4	105	1	70	13	0	1
1997	17.9	25.7	11.8	916.41	13	104	0	66	10	1	1
1998	16.8	24.1	11	705.6	12.6	103	0	52	21	1	1
1999	16.9	24.3	11	NaN	11.9	115	0	56	28	0	1
2000	16.7	24.2	10.9	NaN	12.6	125	1	49	19	0	2
2001	17.4	24.8	11.8	NaN	12.9	132	0	58	23	0	4
2002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2003	17.6	25.4	11.4	975.13	13.7	110	0	55	24	0	5
2004	17.6	25.5	11.5	821.93	13.4	91	0	49	11	0	0
2005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2006	18	26.1	11.6	NaN	13.9	93	0	53	19	0	1
2007	16.8	24.8	10.9	NaN	13.1	115	3	61	25	0	0
2008	17.9	25.9	11.6	NaN	12.8	93	2	51	12	0	2
2009	18.4	26.8	11.9	988.57	13.9	96	1	53	9	0	3
2010	17.4	25.5	11.3	NaN	13.2	112	1	54	17	0	2
2011	17.9	26.3	11.6	NaN	13.6	100	1	49	20	0	2
2012	18.2	26.5	11.8	870.2	13.9	101	1	64	13	0	2
2013	17.2	26.1	9.8	         NaN	13.8	99	0	57	12	0	3
2014	17.1	25.8	10.2	861.81	13.3	112	0	58	30	0	0
2015	17.2	25.6	10.9	NaN	11.9	122	0	72	21	0	1

